line_item_id,transaction_id,transaction_date,customer_id,store_id,store_name,product_id,item_name,category,supplier_id,supplier_name,quantity,price,discount,total_price,payment_method_id,payment_method,cashier_id,promo_flag
LI0000057,T00012,2025-11-01,C32154,IM001,INDOMARET LATIGO SQUARE,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,4,3500,2100,11900,PM04,OVO,L002,1
LI0000058,T00012,2025-11-01,C32154,IM001,INDOMARET LATIGO SQUARE,P001,Indomie Goreng,Food,SUP001,Indofood,2,3500,700,6300,PM04,OVO,L002,1
LI0000059,T00012,2025-11-01,C32154,IM001,INDOMARET LATIGO SQUARE,P011,Kopiko Coffee Candy,Candy/Snack,SUP005,Mayora,2,5000,2000,8000,PM04,OVO,L002,1
LI0000060,T00012,2025-11-01,C32154,IM001,INDOMARET LATIGO SQUARE,P015,Clear Shampoo 170ml,Personal Care,SUP006,Unilever,2,25000,5000,45000,PM04,OVO,L002,1
LI0000061,T00012,2025-11-01,C32154,IM001,INDOMARET LATIGO SQUARE,P003,Pop Mie Ayam,Food,SUP001,Indofood,5,5500,2750,24750,PM04,OVO,L002,1
LI0000062,T00012,2025-11-01,C32154,IM001,INDOMARET LATIGO SQUARE,P003,Pop Mie Ayam,Food,SUP001,Indofood,4,5500,2200,19800,PM04,OVO,L002,1
LI0000063,T00012,2025-11-01,C32154,IM001,INDOMARET LATIGO SQUARE,P008,Teh Botol Sosro,Beverage,SUP004,Sosro,2,5000,1500,8500,PM04,OVO,L002,1
LI0000064,T00013,2025-11-02,C14292,IM002,INDOMARET ANIVA JUNCTION,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,2,3500,1050,5950,PM01,Cash,L003,1
LI0000065,T00013,2025-11-02,C14292,IM002,INDOMARET ANIVA JUNCTION,P003,Pop Mie Ayam,Food,SUP001,Indofood,3,5500,1650,14850,PM01,Cash,L003,1
LI0000066,T00013,2025-11-02,C14292,IM002,INDOMARET ANIVA JUNCTION,P006,Aqua 1.5L,Beverage,SUP002,Danone,2,7000,2100,11900,PM01,Cash,L003,1
LI0000067,T00013,2025-11-02,C14292,IM002,INDOMARET ANIVA JUNCTION,P011,Kopiko Coffee Candy,Candy/Snack,SUP005,Mayora,4,5000,4000,16000,PM01,Cash,L003,1
LI0000068,T00013,2025-11-02,C14292,IM002,INDOMARET ANIVA JUNCTION,P004,Bimoli Minyak Goreng 1L,Food,SUP001,Indofood,4,25000,10000,90000,PM01,Cash,L003,1
LI0000069,T00013,2025-11-02,C14292,IM002,INDOMARET ANIVA JUNCTION,P014,Lifebouy Sabun Mandi,Personal Care,SUP006,Unilever,2,8000,1600,14400,PM01,Cash,L003,1
LI0000070,T00013,2025-11-02,C14292,IM002,INDOMARET ANIVA JUNCTION,P008,Teh Botol Sosro,Beverage,SUP004,Sosro,1,5000,750,4250,PM01,Cash,L003,1
LI0000071,T00013,2025-11-02,C14292,IM002,INDOMARET ANIVA JUNCTION,P011,Kopiko Coffee Candy,Candy/Snack,SUP005,Mayora,4,5000,4000,16000,PM01,Cash,L003,1
LI0000072,T00014,2025-11-02,C65103,IM002,INDOMARET ANIVA JUNCTION,P003,Pop Mie Ayam,Food,SUP001,Indofood,3,5500,1650,14850,PM01,Cash,L004,1
LI0000073,T00014,2025-11-02,C65103,IM002,INDOMARET ANIVA JUNCTION,P001,Indomie Goreng,Food,SUP001,Indofood,2,3500,700,6300,PM01,Cash,L004,1
LI0000074,T00014,2025-11-02,C65103,IM002,INDOMARET ANIVA JUNCTION,P001,Indomie Goreng,Food,SUP001,Indofood,4,3500,1400,12600,PM01,Cash,L004,1
LI0000075,T00014,2025-11-02,C65103,IM002,INDOMARET ANIVA JUNCTION,P003,Pop Mie Ayam,Food,SUP001,Indofood,1,5500,550,4950,PM01,Cash,L004,1
LI0000076,T00014,2025-11-02,C65103,IM002,INDOMARET ANIVA JUNCTION,P001,Indomie Goreng,Food,SUP001,Indofood,1,3500,350,3150,PM01,Cash,L004,1
LI0000077,T00015,2025-11-02,C61040,IM002,INDOMARET ANIVA JUNCTION,P008,Teh Botol Sosro,Beverage,SUP004,Sosro,2,5000,1500,8500,PM04,OVO,L003,1
LI0000078,T00015,2025-11-02,C61040,IM002,INDOMARET ANIVA JUNCTION,P001,Indomie Goreng,Food,SUP001,Indofood,1,3500,350,3150,PM04,OVO,L003,1
LI0000079,T00015,2025-11-02,C61040,IM002,INDOMARET ANIVA JUNCTION,P004,Bimoli Minyak Goreng 1L,Food,SUP001,Indofood,5,25000,12500,112500,PM04,OVO,L003,1
LI0000080,T00015,2025-11-02,C61040,IM002,INDOMARET ANIVA JUNCTION,P001,Indomie Goreng,Food,SUP001,Indofood,5,3500,1750,15750,PM04,OVO,L003,1
LI0000081,T00015,2025-11-02,C61040,IM002,INDOMARET ANIVA JUNCTION,P012,Roma Marie,Candy/Snack,SUP005,Mayora,4,6000,4800,19200,PM04,OVO,L003,1
LI0000082,T00015,2025-11-02,C61040,IM002,INDOMARET ANIVA JUNCTION,P006,Aqua 1.5L,Beverage,SUP002,Danone,3,7000,3150,17850,PM04,OVO,L003,1
LI0000083,T00015,2025-11-02,C61040,IM002,INDOMARET ANIVA JUNCTION,P012,Roma Marie,Candy/Snack,SUP005,Mayora,1,6000,1200,4800,PM04,OVO,L003,1
LI0000084,T00016,2025-11-02,C11705,IM003,INDOMARET FRESH BOSTON SQUARE,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,5,3500,2625,14875,PM04,OVO,L006,1
LI0000085,T00016,2025-11-02,C11705,IM003,INDOMARET FRESH BOSTON SQUARE,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,4,3500,2100,11900,PM04,OVO,L006,1
LI0000086,T00016,2025-11-02,C11705,IM003,INDOMARET FRESH BOSTON SQUARE,P003,Pop Mie Ayam,Food,SUP001,Indofood,1,5500,550,4950,PM04,OVO,L006,1
LI0000087,T00016,2025-11-02,C11705,IM003,INDOMARET FRESH BOSTON SQUARE,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,3,3500,1575,8925,PM04,OVO,L006,1
LI0000088,T00016,2025-11-02,C11705,IM003,INDOMARET FRESH BOSTON SQUARE,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,1,3500,525,2975,PM04,OVO,L006,1
LI0000089,T00016,2025-11-02,C11705,IM003,INDOMARET FRESH BOSTON SQUARE,P015,Clear Shampoo 170ml,Personal Care,SUP006,Unilever,1,25000,2500,22500,PM04,OVO,L006,1
LI0000090,T00016,2025-11-02,C11705,IM003,INDOMARET FRESH BOSTON SQUARE,P012,Roma Marie,Candy/Snack,SUP005,Mayora,3,6000,3600,14400,PM04,OVO,L006,1
LI0000091,T00017,2025-11-02,C25023,IM002,INDOMARET ANIVA JUNCTION,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,1,3500,525,2975,PM05,GoPay,L004,1
LI0000092,T00017,2025-11-02,C25023,IM002,INDOMARET ANIVA JUNCTION,P015,Clear Shampoo 170ml,Personal Care,SUP006,Unilever,4,25000,10000,90000,PM05,GoPay,L004,1
LI0000093,T00017,2025-11-02,C25023,IM002,INDOMARET ANIVA JUNCTION,P012,Roma Marie,Candy/Snack,SUP005,Mayora,1,6000,1200,4800,PM05,GoPay,L004,1
LI0000094,T00017,2025-11-02,C25023,IM002,INDOMARET ANIVA JUNCTION,P010,SilverQueen Chocolate,Candy/Snack,SUP005,Mayora,5,12000,12000,48000,PM05,GoPay,L004,1
LI0000095,T00017,2025-11-02,C25023,IM002,INDOMARET ANIVA JUNCTION,P011,Kopiko Coffee Candy,Candy/Snack,SUP005,Mayora,5,5000,5000,20000,PM05,GoPay,L004,1
LI0000096,T00017,2025-11-02,C25023,IM002,INDOMARET ANIVA JUNCTION,P012,Roma Marie,Candy/Snack,SUP005,Mayora,3,6000,3600,14400,PM05,GoPay,L004,1
LI0000097,T00017,2025-11-02,C25023,IM002,INDOMARET ANIVA JUNCTION,P015,Clear Shampoo 170ml,Personal Care,SUP006,Unilever,3,25000,7500,67500,PM05,GoPay,L004,1
LI0000098,T00017,2025-11-02,C25023,IM002,INDOMARET ANIVA JUNCTION,P009,S-Tee Lemon,Beverage,SUP004,Sosro,3,4500,2025,11475,PM05,GoPay,L004,1
LI0000099,T00018,2025-11-02,C93741,IM002,INDOMARET ANIVA JUNCTION,P003,Pop Mie Ayam,Food,SUP001,Indofood,1,5500,550,4950,PM04,OVO,L003,1
LI0000100,T00018,2025-11-02,C93741,IM002,INDOMARET ANIVA JUNCTION,P009,S-Tee Lemon,Beverage,SUP004,Sosro,1,4500,675,3825,PM04,OVO,L003,1
LI0000101,T00018,2025-11-02,C93741,IM002,INDOMARET ANIVA JUNCTION,P013,Sunlight Dish Soap 1L,Household,SUP006,Unilever,1,20000,1000,19000,PM04,OVO,L003,1
LI0000102,T00018,2025-11-02,C93741,IM002,INDOMARET ANIVA JUNCTION,P014,Lifebouy Sabun Mandi,Personal Care,SUP006,Unilever,1,8000,800,7200,PM04,OVO,L003,1
LI0000103,T00019,2025-11-02,C16189,IM002,INDOMARET ANIVA JUNCTION,P011,Kopiko Coffee Candy,Candy/Snack,SUP005,Mayora,1,5000,1000,4000,PM04,OVO,L004,1
LI0000104,T00019,2025-11-02,C16189,IM002,INDOMARET ANIVA JUNCTION,P003,Pop Mie Ayam,Food,SUP001,Indofood,5,5500,2750,24750,PM04,OVO,L004,1
LI0000105,T00019,2025-11-02,C16189,IM002,INDOMARET ANIVA JUNCTION,P015,Clear Shampoo 170ml,Personal Care,SUP006,Unilever,5,25000,12500,112500,PM04,OVO,L004,1
LI0000106,T00019,2025-11-02,C16189,IM002,INDOMARET ANIVA JUNCTION,P014,Lifebouy Sabun Mandi,Personal Care,SUP006,Unilever,3,8000,2400,21600,PM04,OVO,L004,1
LI0000107,T00019,2025-11-02,C16189,IM002,INDOMARET ANIVA JUNCTION,P013,Sunlight Dish Soap 1L,Household,SUP006,Unilever,3,20000,3000,57000,PM04,OVO,L004,1
LI0000108,T00019,2025-11-02,C16189,IM002,INDOMARET ANIVA JUNCTION,P012,Roma Marie,Candy/Snack,SUP005,Mayora,3,6000,3600,14400,PM04,OVO,L004,1
LI0000109,T00020,2025-11-02,C07845,IM001,INDOMARET LATIGO SQUARE,P009,S-Tee Lemon,Beverage,SUP004,Sosro,4,4500,2700,15300,PM01,Cash,L001,1
LI0000110,T00020,2025-11-02,C07845,IM001,INDOMARET LATIGO SQUARE,P010,SilverQueen Chocolate,Candy/Snack,SUP005,Mayora,2,12000,4800,19200,PM01,Cash,L001,1
LI0000111,T00020,2025-11-02,C07845,IM001,INDOMARET LATIGO SQUARE,P003,Pop Mie Ayam,Food,SUP001,Indofood,2,5500,1100,9900,PM01,Cash,L001,1
LI0000112,T00020,2025-11-02,C07845,IM001,INDOMARET LATIGO SQUARE,P009,S-Tee Lemon,Beverage,SUP004,Sosro,1,4500,675,3825,PM01,Cash,L001,1
LI0000113,T00020,2025-11-02,C07845,IM001,INDOMARET LATIGO SQUARE,P005,Aqua 600ml,Beverage,SUP002,Danone,1,3500,525,2975,PM01,Cash,L001,1
LI0000114,T00020,2025-11-02,C07845,IM001,INDOMARET LATIGO SQUARE,P009,S-Tee Lemon,Beverage,SUP004,Sosro,1,4500,675,3825,PM01,Cash,L001,1
LI0000115,T00020,2025-11-02,C07845,IM001,INDOMARET LATIGO SQUARE,P003,Pop Mie Ayam,Food,SUP001,Indofood,1,5500,550,4950,PM01,Cash,L001,1
LI0000116,T00020,2025-11-02,C07845,IM001,INDOMARET LATIGO SQUARE,P005,Aqua 600ml,Beverage,SUP002,Danone,3,3500,1575,8925,PM01,Cash,L001,1
LI0000117,T00021,2025-11-02,C66952,IM003,INDOMARET FRESH BOSTON SQUARE,P010,SilverQueen Chocolate,Candy/Snack,SUP005,Mayora,4,12000,9600,38400,PM05,GoPay,L007,1
LI0000118,T00021,2025-11-02,C66952,IM003,INDOMARET FRESH BOSTON SQUARE,P013,Sunlight Dish Soap 1L,Household,SUP006,Unilever,3,20000,3000,57000,PM05,GoPay,L007,1
LI0000119,T00021,2025-11-02,C66952,IM003,INDOMARET FRESH BOSTON SQUARE,P014,Lifebouy Sabun Mandi,Personal Care,SUP006,Unilever,3,8000,2400,21600,PM05,GoPay,L007,1
LI0000120,T00021,2025-11-02,C66952,IM003,INDOMARET FRESH BOSTON SQUARE,P012,Roma Marie,Candy/Snack,SUP005,Mayora,1,6000,1200,4800,PM05,GoPay,L007,1
LI0000121,T00021,2025-11-02,C66952,IM003,INDOMARET FRESH BOSTON SQUARE,P006,Aqua 1.5L,Beverage,SUP002,Danone,4,7000,4200,23800,PM05,GoPay,L007,1
LI0000122,T00021,2025-11-02,C66952,IM003,INDOMARET FRESH BOSTON SQUARE,P005,Aqua 600ml,Beverage,SUP002,Danone,3,3500,1575,8925,PM05,GoPay,L007,1
LI0000123,T00022,2025-11-02,C38199,IM001,INDOMARET LATIGO SQUARE,P011,Kopiko Coffee Candy,Candy/Snack,SUP005,Mayora,5,5000,5000,20000,PM03,Credit,L002,1
LI0000124,T00022,2025-11-02,C38199,IM001,INDOMARET LATIGO SQUARE,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,4,3500,2100,11900,PM03,Credit,L002,1
LI0000125,T00022,2025-11-02,C38199,IM001,INDOMARET LATIGO SQUARE,P010,SilverQueen Chocolate,Candy/Snack,SUP005,Mayora,3,12000,7200,28800,PM03,Credit,L002,1
LI0000126,T00022,2025-11-02,C38199,IM001,INDOMARET LATIGO SQUARE,P008,Teh Botol Sosro,Beverage,SUP004,Sosro,5,5000,3750,21250,PM03,Credit,L002,1
LI0000127,T00022,2025-11-02,C38199,IM001,INDOMARET LATIGO SQUARE,P012,Roma Marie,Candy/Snack,SUP005,Mayora,1,6000,1200,4800,PM03,Credit,L002,1
LI0000128,T00022,2025-11-02,C38199,IM001,INDOMARET LATIGO SQUARE,P002,Indomie Kari,Food,SUP001,Indofood,5,3500,1750,15750,PM03,Credit,L002,1
LI0000129,T00023,2025-11-02,C42723,IM003,INDOMARET FRESH BOSTON SQUARE,P003,Pop Mie Ayam,Food,SUP001,Indofood,2,5500,1100,9900,PM04,OVO,L005,1
LI0000130,T00023,2025-11-02,C42723,IM003,INDOMARET FRESH BOSTON SQUARE,P012,Roma Marie,Candy/Snack,SUP005,Mayora,2,6000,2400,9600,PM04,OVO,L005,1
LI0000131,T00023,2025-11-02,C42723,IM003,INDOMARET FRESH BOSTON SQUARE,P003,Pop Mie Ayam,Food,SUP001,Indofood,4,5500,2200,19800,PM04,OVO,L005,1
LI0000132,T00023,2025-11-02,C42723,IM003,INDOMARET FRESH BOSTON SQUARE,P004,Bimoli Minyak Goreng 1L,Food,SUP001,Indofood,2,25000,5000,45000,PM04,OVO,L005,1
LI0000133,T00023,2025-11-02,C42723,IM003,INDOMARET FRESH BOSTON SQUARE,P005,Aqua 600ml,Beverage,SUP002,Danone,5,3500,2625,14875,PM04,OVO,L005,1
LI0000134,T00023,2025-11-02,C42723,IM003,INDOMARET FRESH BOSTON SQUARE,P003,Pop Mie Ayam,Food,SUP001,Indofood,2,5500,1100,9900,PM04,OVO,L005,1
LI0000135,T00023,2025-11-02,C42723,IM003,INDOMARET FRESH BOSTON SQUARE,P012,Roma Marie,Candy/Snack,SUP005,Mayora,1,6000,1200,4800,PM04,OVO,L005,1
LI0000136,T00024,2025-11-02,C07329,IM001,INDOMARET LATIGO SQUARE,P002,Indomie Kari,Food,SUP001,Indofood,3,3500,1050,9450,PM01,Cash,L001,1
LI0000137,T00024,2025-11-02,C07329,IM001,INDOMARET LATIGO SQUARE,P012,Roma Marie,Candy/Snack,SUP005,Mayora,1,6000,1200,4800,PM01,Cash,L001,1
LI0000138,T00024,2025-11-02,C07329,IM001,INDOMARET LATIGO SQUARE,P009,S-Tee Lemon,Beverage,SUP004,Sosro,3,4500,2025,11475,PM01,Cash,L001,1
LI0000139,T00024,2025-11-02,C07329,IM001,INDOMARET LATIGO SQUARE,P007,Le Minerale 600ml,Beverage,SUP003,Le Minerale,3,3500,1575,8925,PM01,Cash,L001,1
LI0000140,T00024,2025-11-02,C07329,IM001,INDOMARET LATIGO SQUARE,P011,Kopiko Coffee Candy,Candy/Snack,SUP005,Mayora,2,5000,2000,8000,PM01,Cash,L001,1
LI0000141,T00024,2025-11-02,C07329,IM001,INDOMARET LATIGO SQUARE,P014,Lifebouy Sabun Mandi,Personal Care,SUP006,Unilever,4,8000,3200,28800,PM01,Cash,L001,1
LI0000142,T00025,2025-11-03,C26066,IM001,INDOMARET LATIGO SQUARE,P008,Teh Botol Sosro,Beverage,SUP004,Sosro,1,5000,750,4250,PM01,Cash,L002,1
